Wavelength,teth_ambada00000.asd,teth_ambada00001.asd,teth_ambada00002.asd,teth_ambada00003.asd,teth_ambada00004.asd,teth_ambada00005.asd,teth_ambada00006.asd,teth_ambada00007.asd,teth_ambada00008.asd,teth_ambada00009.asd
350,0.218806572,0.203288414,0.239239501,0.306372472,0.294338483,0.257397735,0.257851403,0.29946064,0.203652278,0.295332724
351,0.199399167,0.240213726,0.270355407,0.230821739,0.357309333,0.263559361,0.24830318,0.221500729,0.243223871,0.315882276
352,0.19516771,0.25535224,0.261562991,0.215832563,0.314642874,0.316411278,0.221724694,0.185919928,0.220867594,0.30363173
353,0.19557604,0.250127641,0.218181117,0.264251137,0.219976248,0.347756316,0.202706471,0.201841059,0.181295374,0.281814575
354,0.18697468,0.247361575,0.205893799,0.305881278,0.243599503,0.260578076,0.249333427,0.210548236,0.285467011,0.274795491
355,0.177146436,0.223573156,0.198235819,0.252889779,0.270613625,0.216516253,0.251268334,0.213826153,0.301018772,0.256318483
356,0.185578393,0.200648829,0.190963117,0.202577147,0.262199893,0.203638325,0.228755058,0.224599287,0.258237938,0.228388827
357,0.208264936,0.19221814,0.189108881,0.210461636,0.229073656,0.201916335,0.21793608,0.231915468,0.227202557,0.206120535
358,0.210363331,0.185865063,0.213311462,0.222426793,0.228492288,0.245748406,0.245878254,0.175302992,0.260814285,0.216254201
359,0.19448487,0.193199977,0.205921538,0.209887573,0.219099571,0.226057476,0.21985137,0.161461949,0.24905994,0.218511288
360,0.176508235,0.208650123,0.187791075,0.197300217,0.222232313,0.191633762,0.179375347,0.176857454,0.206090269,0.212158182
361,0.171037222,0.221585749,0.191141056,0.210180678,0.255168199,0.207321007,0.178839742,0.181324575,0.175943948,0.208635681
362,0.191694378,0.202636031,0.203220928,0.214778395,0.23257028,0.216894916,0.194219603,0.196675667,0.195017852,0.220959033
363,0.212724175,0.199367512,0.206703276,0.207409392,0.21085808,0.213714438,0.209230079,0.20588571,0.216612249,0.226039016
364,0.218082549,0.213071176,0.201131477,0.195027248,0.214335422,0.204744667,0.211436746,0.205359867,0.219012604,0.219098614
365,0.203525623,0.203550508,0.199727411,0.190115775,0.230420208,0.203931245,0.192565337,0.204317811,0.208523716,0.21238221
366,0.187350496,0.206270216,0.200603877,0.208072968,0.214845451,0.202348667,0.189964007,0.203889948,0.207012829,0.211343352
367,0.185335785,0.206528603,0.198151175,0.209848508,0.194079248,0.201171064,0.197528064,0.204758234,0.210541604,0.206126442
368,0.197940986,0.19341312,0.191260379,0.181894929,0.192444984,0.202851696,0.201271158,0.206065464,0.213279888,0.19427232
369,0.200190445,0.180952075,0.190409666,0.183232626,0.201627303,0.212063293,0.189135085,0.204346947,0.219530764,0.196607955
370,0.190334206,0.186350149,0.184861749,0.195637851,0.206204581,0.200766049,0.183980115,0.204288147,0.218460836,0.194942155
371,0.179506124,0.195395896,0.179252632,0.201640032,0.202213489,0.180821223,0.18336029,0.200225264,0.207666815,0.189908436
372,0.182578483,0.186344255,0.18282846,0.189589727,0.193222882,0.179358583,0.17699119,0.186192806,0.191999662,0.18985071
373,0.195475289,0.193762957,0.184195111,0.191571855,0.195666921,0.193131024,0.183422189,0.184976998,0.195973252,0.194347964
374,0.195035353,0.199079861,0.188041814,0.197332963,0.197992478,0.201662565,0.185078273,0.193014237,0.197910514,0.198767187
375,0.181526948,0.194103829,0.19356545,0.198163697,0.195933284,0.198167258,0.179835063,0.200598584,0.190484455,0.199290521
376,0.187652208,0.190395294,0.191244728,0.192773561,0.198327774,0.196206149,0.19042493,0.193545273,0.190131751,0.193617595
377,0.190251354,0.190395622,0.187761418,0.187701214,0.199286968,0.187541851,0.194457966,0.190125215,0.194952374,0.191282282
378,0.19157583,0.190638925,0.184409081,0.186212233,0.19770553,0.18146614,0.19044727,0.188953443,0.197110679,0.189106363
379,0.195963886,0.187875223,0.181663563,0.18889776,0.19521101,0.186514923,0.184230488,0.186036265,0.192075717,0.184324613
380,0.191584355,0.186342939,0.182199943,0.192111406,0.19892367,0.194846854,0.186803445,0.18849483,0.193031169,0.188993633
381,0.183303599,0.186003048,0.183270725,0.19073958,0.200382571,0.195382061,0.185020427,0.186637713,0.196770151,0.193873588
382,0.177814345,0.186204576,0.183758531,0.186555135,0.197635582,0.189087697,0.181417205,0.18219717,0.200059856,0.194431768
383,0.181545669,0.185891388,0.183906291,0.185966411,0.193884808,0.185595166,0.188915487,0.184670212,0.200078668,0.190657968
384,0.181798204,0.18318739,0.183781694,0.185480719,0.188268442,0.183764706,0.189099456,0.183832145,0.194479654,0.18873975
