Wavelength,G_Makbara_Stone00000.asd,G_Makbara_Stone00001.asd,G_Makbara_Stone00002.asd,G_Makbara_Stone00003.asd,G_Makbara_Stone00004.asd,G_Makbara_Stone00005.asd,G_Makbara_Stone00006.asd,G_Makbara_Stone00007.asd,G_Makbara_Stone00008.asd,G_Makbara_Stone00009.asd
350,0.452681433,0.339495585,0.472353981,0.371374724,0.308296571,0.274983375,0.385010188,0.376958988,0.24661881,0.287051691
351,0.415325425,0.349861197,0.352333204,0.439452897,0.261187546,0.450067276,0.475170004,0.454446801,0.3266659,0.335179394
352,0.413078558,0.354054503,0.320966058,0.455749806,0.32777536,0.448552127,0.515706297,0.503980494,0.401122599,0.374108074
353,0.410400144,0.344878099,0.357835826,0.378161723,0.397186253,0.247376223,0.487215553,0.447132498,0.368578765,0.335647774
354,0.335167203,0.405660454,0.353553915,0.307187416,0.30619048,0.258519832,0.452376895,0.424826498,0.301730415,0.414253812
355,0.379029971,0.388458824,0.319605341,0.338285213,0.341430391,0.398453237,0.396546601,0.376854719,0.390895981,0.412753016
356,0.421758794,0.372763916,0.348479254,0.366189409,0.417107269,0.461825746,0.350008315,0.368564597,0.438183251,0.395252143
357,0.380965458,0.404281404,0.436723794,0.335679905,0.438639499,0.365534327,0.328643547,0.413972421,0.341950484,0.392946428
358,0.323566914,0.398505571,0.313401639,0.343613109,0.357016424,0.329798432,0.324869838,0.369908692,0.32797694,0.301700247
359,0.382198671,0.377586391,0.292580326,0.380810161,0.338147205,0.397098138,0.292937069,0.355841631,0.295808251,0.361930716
360,0.444198783,0.361134776,0.319088953,0.412062644,0.345248961,0.426429073,0.27322853,0.348015235,0.281608686,0.430717123
361,0.380361939,0.368187397,0.29477761,0.393822855,0.324652312,0.301440863,0.312593818,0.31330883,0.329744979,0.339237204
362,0.376605003,0.386931685,0.338054578,0.332462556,0.358180569,0.30673398,0.321000112,0.295759375,0.29095034,0.3447263
363,0.372677312,0.360286699,0.379039571,0.345060992,0.361246255,0.355353121,0.362284758,0.342404219,0.299321721,0.374596151
364,0.350670382,0.316926295,0.366413857,0.389618504,0.321575583,0.370636912,0.398760117,0.404109796,0.353980365,0.378592814
365,0.338537722,0.347507218,0.303594742,0.289136241,0.303093091,0.329601525,0.325834549,0.372552902,0.326633362,0.357680066
366,0.30771342,0.341762946,0.286606017,0.284004248,0.282734967,0.305195341,0.315973241,0.358554277,0.287481201,0.320768124
367,0.30638571,0.325738653,0.302362254,0.301699846,0.288314898,0.305875381,0.336298846,0.365287192,0.287311565,0.319338197
368,0.343852749,0.328211288,0.32324811,0.286999249,0.325348089,0.323176775,0.338389284,0.372086616,0.328754251,0.3599627
369,0.312536039,0.336053161,0.336070999,0.353973367,0.336273768,0.346818762,0.311891322,0.343974103,0.320113308,0.335523002
370,0.318136204,0.341449251,0.341840474,0.349403017,0.341984167,0.335354803,0.315817593,0.331328217,0.307028694,0.338962344
371,0.341518899,0.33334176,0.33828505,0.29963634,0.337723209,0.313545251,0.332270549,0.330429867,0.301582179,0.351008588
372,0.318739449,0.307568079,0.324974261,0.303573336,0.314817223,0.326595073,0.317491011,0.319829423,0.301863811,0.316364248
373,0.319167309,0.312884676,0.324146758,0.315870809,0.323399634,0.311150938,0.32947645,0.343161376,0.319417902,0.321186787
374,0.31389592,0.321054405,0.31588488,0.308152761,0.31940491,0.306957766,0.327907061,0.346481908,0.312278195,0.329271624
375,0.298652241,0.316834573,0.300162753,0.289783194,0.297086228,0.323201966,0.309129227,0.322356947,0.285741184,0.319755491
376,0.31222287,0.309459872,0.307074493,0.318040624,0.311149233,0.31820164,0.329606589,0.334662615,0.312658406,0.30342432
377,0.318581308,0.314619717,0.310500288,0.314341583,0.303634575,0.316397431,0.308028369,0.319521155,0.31235082,0.310367279
378,0.311330833,0.320564797,0.307682869,0.305427654,0.296464206,0.319311936,0.290313532,0.302540278,0.304864239,0.320716354
379,0.299392427,0.315695938,0.304828782,0.324267013,0.314840877,0.32348928,0.320839744,0.313247418,0.319274184,0.316925506
380,0.323625496,0.315550382,0.320027661,0.326410089,0.322589614,0.33094332,0.322075976,0.316181945,0.321274729,0.344157425
381,0.318809066,0.314160117,0.327350385,0.317353295,0.321930426,0.316923344,0.313221131,0.311314232,0.319730617,0.34002729
382,0.297370006,0.314878404,0.32318798,0.308743529,0.31736878,0.298167817,0.307415875,0.308081075,0.314793574,0.311164937
383,0.322867344,0.326395887,0.320658201,0.31283309,0.313197546,0.315949591,0.30956439,0.319481702,0.30080752,0.312025972
384,0.322622071,0.319861317,0.317140946,0.308062583,0.302645524,0.318252491,0.317430489,0.32010166,0.309128818,0.324788852
385,0.31337607,0.317318831,0.312140497,0.30917964,0.301331344,0.315546692,0.316395318,0.321048044,0.318665818,0.329471658
386,0.313973705,0.327962393,0.30864171,0.321102205,0.312918152,0.317601631,0.305601185,0.327911578,0.314372603,0.319854468
387,0.316156776,0.312852107,0.319713621,0.313261487,0.306735981,0.307759524,0.320559296,0.319934211,0.311957984,0.320068291
388,0.318672926,0.310333056,0.314908647,0.313053084,0.310709002,0.312920986,0.317811538,0.31471579,0.31519665,0.321374773
389,0.321292751,0.314952884,0.306233894,0.315877931,0.320669882,0.321212686,0.304967685,0.31414996,0.316799512,0.321033028
390,0.3231806,0.308970406,0.316873916,0.308820393,0.321529195,0.312062833,0.30594276,0.315157119,0.309584399,0.319656813
391,0.316758176,0.313238302,0.32340074,0.309843727,0.316275014,0.317659633,0.308703107,0.32373166,0.32246764,0.327482759
392,0.310838993,0.311312641,0.326606899,0.316646052,0.313908072,0.320661355,0.30733943,0.325288771,0.323551637,0.327047106
393,0.3110489,0.303415089,0.327480591,0.321784824,0.31619642,0.312836602,0.303958206,0.317935839,0.308415945,0.317411552
394,0.317787999,0.312849511,0.325032869,0.313700282,0.315803074,0.301158869,0.30960409,0.316603174,0.310838191,0.319720662
395,0.313907208,0.319746353,0.317686866,0.311548621,0.311811128,0.308054184,0.313221285,0.31451906,0.309489729,0.321412677
396,0.311432463,0.320601707,0.313131688,0.313611612,0.312690091,0.318955798,0.315076249,0.318819191,0.311909893,0.322515262
397,0.320317233,0.316701356,0.316193013,0.313789729,0.321992859,0.317018627,0.317486421,0.331105741,0.323292739,0.324034867
398,0.316958374,0.311106231,0.313065352,0.308879965,0.318613746,0.312902886,0.321475838,0.323873619,0.317851069,0.320216835
399,0.314551712,0.306476213,0.313256771,0.3140989,0.314669985,0.312928821,0.317751165,0.321844188,0.31545777,0.317406593
400,0.316973873,0.308070217,0.314276489,0.320545226,0.315383406,0.315554219,0.310114534,0.324875409,0.319159485,0.318175985
401,0.320869197,0.320395773,0.307673303,0.306644759,0.319965448,0.314652373,0.31078293,0.317452724,0.320401728,0.321852808
402,0.318210619,0.316954159,0.320871365,0.309101529,0.316976707,0.318378676,0.31967697,0.317986398,0.320310932,0.322868783
403,0.320199252,0.312060736,0.32837701,0.31515036,0.313916946,0.321278461,0.323347572,0.320704045,0.320214855,0.322429712
404,0.32899839,0.315858778,0.31852462,0.315177399,0.315360961,0.320118607,0.317271074,0.32158381,0.320392019,0.321818265
405,0.322832297,0.318943669,0.322449736,0.320922564,0.314120714,0.320287303,0.317907323,0.328366127,0.318728235,0.32027723
406,0.317814272,0.316249917,0.322175285,0.323223825,0.316520461,0.314862782,0.321415538,0.325743339,0.316204301,0.317139205
407,0.316682724,0.31638242,0.318455611,0.322200416,0.318620591,0.311942031,0.322615759,0.319928281,0.317066304,0.318428387
408,0.317433083,0.327415675,0.317531061,0.320921482,0.315473929,0.320284094,0.318003004,0.321674408,0.323597475,0.327996349
409,0.319458087,0.321400848,0.318609998,0.319171925,0.318978079,0.31950569,0.319726317,0.31767855,0.319505458,0.322649631
410,0.319405498,0.316769111,0.318100949,0.315823949,0.321741522,0.316502443,0.318091985,0.317290347,0.316143566,0.316975449
411,0.31788264,0.319567794,0.317320557,0.313292317,0.32089982,0.316478845,0.313782754,0.322706885,0.319335926,0.318427332
412,0.319840839,0.318936429,0.323093231,0.317904329,0.319880805,0.320584901,0.320295576,0.326919898,0.326846026,0.323830175
413,0.319324292,0.32164964,0.322350714,0.319597237,0.323208934,0.321185959,0.31903389,0.322728599,0.328060631,0.324830823
414,0.320988112,0.323932643,0.320605849,0.319826836,0.324116594,0.321045568,0.317389479,0.321486311,0.326638204,0.323296355
415,0.326806603,0.322089458,0.323358805,0.321316569,0.318462308,0.322958693,0.322255868,0.329608926,0.32664663,0.32228126
416,0.322181719,0.319009804,0.321534899,0.321315388,0.318429799,0.32126014,0.318699649,0.323220991,0.320692221,0.318963144
417,0.318957966,0.320747276,0.321702548,0.323434524,0.320213619,0.320886484,0.319862747,0.321032063,0.319280111,0.321481291
418,0.319941248,0.324056064,0.324308069,0.325312146,0.321402981,0.321549383,0.324312087,0.325007149,0.321705337,0.32548878
419,0.321800142,0.321045847,0.325423092,0.321645296,0.320854185,0.320066253,0.322083673,0.326198662,0.320633582,0.320292228
420,0.324266124,0.32482266,0.318595097,0.32043045,0.320050558,0.321938243,0.321469864,0.324363588,0.322078754,0.32119774
421,0.32406607,0.328491382,0.316599777,0.320967773,0.320509024,0.324191134,0.322190048,0.324222851,0.324371605,0.324232343
422,0.321426057,0.326554189,0.32340013,0.321662487,0.322123359,0.324275654,0.323002872,0.32675456,0.325272897,0.324929799
423,0.324047212,0.320281023,0.32032209,0.321565045,0.321537979,0.322229838,0.323091324,0.323837573,0.322770401,0.322603883
424,0.326717081,0.320720461,0.32253526,0.322526068,0.322303081,0.322636514,0.323422233,0.322862196,0.3241649,0.32315061
425,0.327775702,0.324254898,0.326921545,0.324043794,0.323842944,0.324404905,0.325075654,0.326215718,0.326456782,0.325729082
426,0.326957828,0.323399104,0.325706772,0.324854818,0.324416698,0.324937713,0.328168808,0.332217353,0.324584012,0.327050702
427,0.324412882,0.323952552,0.324096924,0.324679106,0.324784432,0.32724984,0.32739211,0.326469407,0.325784264,0.325597973
428,0.323779294,0.324466632,0.324569397,0.325320407,0.325847838,0.326066326,0.32503509,0.32485703,0.326755455,0.326642094
429,0.326007173,0.324768049,0.326206628,0.326901224,0.327597084,0.32253451,0.324364102,0.329771482,0.326891844,0.330072437
430,0.328901066,0.3266987,0.324535378,0.327549253,0.329064026,0.325542326,0.329093236,0.3260218,0.329564971,0.329266411
431,0.328070907,0.327705561,0.326183374,0.326564874,0.328038399,0.326756788,0.328510392,0.325921307,0.326135159,0.329390339
432,0.326424898,0.327303249,0.327592927,0.325814181,0.326632475,0.326232536,0.326631169,0.327707193,0.323145745,0.329632237
433,0.327320316,0.32620768,0.325721262,0.326786515,0.326848003,0.325997095,0.328225401,0.327840812,0.3265359,0.328826077
434,0.329341574,0.327165976,0.32773399,0.327618139,0.326540991,0.327505184,0.327692378,0.328308761,0.328036943,0.329599391
435,0.33064222,0.328667919,0.32926371,0.328484723,0.326750621,0.330054121,0.328599201,0.329269194,0.328301988,0.329278893
436,0.330442458,0.329235546,0.329118811,0.328638682,0.327994761,0.331494561,0.330040186,0.330094914,0.328754123,0.328485881
437,0.329024222,0.327802106,0.328588626,0.327078765,0.330102833,0.329265502,0.328345568,0.329791305,0.33090737,0.329971046
438,0.330114884,0.32765847,0.328974951,0.329256254,0.32890895,0.329552904,0.328693997,0.330311986,0.330625064,0.331555505
439,0.331931988,0.329928741,0.330288914,0.331350582,0.329037969,0.331096153,0.330434507,0.331360053,0.330235463,0.332702362
440,0.33259674,0.333391245,0.331767682,0.330869131,0.332465966,0.331911226,0.331629768,0.332313386,0.33157314,0.333183811
441,0.331597499,0.332427663,0.331273518,0.331090728,0.332509451,0.330740942,0.328930344,0.332603391,0.333652218,0.33258431
442,0.332578247,0.331892472,0.332326499,0.332417787,0.333191209,0.331442308,0.329946987,0.332861867,0.333369896,0.333569427
443,0.334069894,0.33271855,0.333392207,0.333763383,0.333298409,0.332742503,0.332492172,0.333526626,0.332023801,0.334535318
444,0.333275931,0.334016974,0.33187945,0.333740129,0.330689142,0.331883139,0.331380173,0.33468028,0.332541554,0.332946308
445,0.335252284,0.334411156,0.334220316,0.334562696,0.332533994,0.332428901,0.332486702,0.334522292,0.33451699,0.333677845
446,0.336147509,0.334352386,0.335934083,0.335283513,0.334118299,0.334005966,0.334279434,0.334915672,0.334666107,0.335411113
447,0.335255262,0.334532414,0.335314604,0.335391163,0.333870472,0.335471629,0.335485213,0.336193963,0.333417712,0.33670953
448,0.33733226,0.335752579,0.335755742,0.335344427,0.33609088,0.335118555,0.336113819,0.336152063,0.336780052,0.336742975
449,0.337517123,0.336741909,0.336521576,0.335530876,0.336588026,0.335104916,0.336733626,0.336374948,0.336762534,0.337712677
450,0.336941327,0.336912663,0.337186772,0.335819328,0.336299243,0.335885787,0.337046333,0.337275984,0.335167119,0.338292406
451,0.337646185,0.336312077,0.337406901,0.336067195,0.336963156,0.337065952,0.336850669,0.338405663,0.335677871,0.337110409
452,0.337791734,0.336466679,0.33699718,0.336915911,0.337119439,0.336858834,0.33746825,0.336935576,0.337437341,0.336934549
453,0.338831155,0.337653661,0.337316692,0.337559274,0.337622417,0.337554274,0.337874836,0.336946379,0.33755775,0.337719165
454,0.340058932,0.338661051,0.338390582,0.337776317,0.338139509,0.339115275,0.338101265,0.33853201,0.336575363,0.33871517
455,0.338952046,0.337232224,0.338999324,0.337926373,0.337348393,0.339361356,0.33911045,0.338172389,0.337991398,0.338729648
456,0.339404046,0.338165069,0.338414195,0.338144967,0.338099203,0.338898013,0.338743979,0.339342838,0.338881073,0.339604476
457,0.340114152,0.339374087,0.338267817,0.338431,0.339323991,0.339053433,0.338972305,0.340563106,0.338510175,0.339708338
458,0.339801431,0.339011651,0.339491039,0.338958819,0.339730643,0.340169165,0.340703145,0.34045049,0.337586877,0.338419649
459,0.340129191,0.339900276,0.339813861,0.340767516,0.339544174,0.339304621,0.339380638,0.34041917,0.339849845,0.339905595
460,0.340818375,0.339743376,0.339892898,0.340976216,0.339970059,0.339525556,0.340169105,0.341179539,0.339922882,0.340432537
461,0.341364114,0.339274609,0.340000709,0.34046383,0.34042622,0.340829927,0.341745467,0.34213174,0.338767953,0.339946667
462,0.34130828,0.340581761,0.340256763,0.341795237,0.339672533,0.341499125,0.339864345,0.342037518,0.340438862,0.340457421
463,0.342370087,0.341036226,0.341178944,0.340934209,0.341090799,0.341599193,0.340590201,0.341702808,0.340940763,0.342332212
464,0.342973179,0.341075149,0.341917801,0.340389158,0.341934527,0.341227491,0.341603412,0.341740202,0.340974854,0.343286444
465,0.342442003,0.341178905,0.342194541,0.341476352,0.341051143,0.340792779,0.341299643,0.342237152,0.341289887,0.342477526
466,0.34240323,0.341152574,0.343218035,0.341917078,0.341585406,0.341313749,0.341250304,0.342358485,0.341617624,0.342147108
467,0.343314462,0.341330802,0.342561852,0.341760098,0.342339756,0.341057716,0.341478823,0.342705051,0.342443959,0.343184939
468,0.344238094,0.342023152,0.341955642,0.342306688,0.342974256,0.341216582,0.342299035,0.343237281,0.343100274,0.344162758
469,0.344067944,0.34320441,0.343729357,0.344512975,0.343396149,0.34332187,0.343798845,0.343750959,0.342888127,0.34338504
470,0.344430797,0.343075918,0.344249925,0.344192312,0.343618398,0.344507251,0.344890942,0.344643519,0.34363404,0.343526835
471,0.344592367,0.343503512,0.344287625,0.34383147,0.343612837,0.344670585,0.343983727,0.344418348,0.344105865,0.344053348
472,0.344384593,0.344727532,0.344476221,0.34429417,0.343603663,0.34421351,0.342338361,0.343582088,0.343891616,0.344539603
473,0.344478579,0.344812928,0.344930085,0.343995432,0.34410317,0.343878271,0.344499299,0.345091153,0.343781267,0.344961612
474,0.345594963,0.345633835,0.3456502,0.345018431,0.344523938,0.344884155,0.344668631,0.344998609,0.344984044,0.345152647
475,0.346232818,0.346120416,0.345685704,0.346094082,0.344914529,0.345296644,0.343876,0.344866568,0.345629549,0.345233738
476,0.34539235,0.345205786,0.344756584,0.345770798,0.345346389,0.343858835,0.344204009,0.346359278,0.344423591,0.345413394
477,0.346113868,0.344357797,0.345959468,0.345044987,0.345357802,0.344837339,0.344918775,0.346127643,0.345236406,0.346002296
478,0.346452089,0.344847116,0.346421029,0.344876438,0.345181659,0.346553689,0.34515288,0.346417321,0.345808139,0.345811961
479,0.346367112,0.345994847,0.346042236,0.345480187,0.345519371,0.34745593,0.345120725,0.347128161,0.345956756,0.345490683
480,0.347266958,0.345773955,0.34681666,0.346425606,0.347222103,0.346458555,0.345862309,0.346490837,0.3470543,0.34696014
481,0.348229238,0.346298512,0.346923475,0.347096268,0.34779093,0.34750531,0.347475525,0.347485601,0.347351157,0.348480055
482,0.348897521,0.347406181,0.347095602,0.347604313,0.347625354,0.348303922,0.348304873,0.348894239,0.347747988,0.348959239
483,0.349120589,0.348556973,0.347995275,0.348171336,0.347632047,0.347491649,0.347796875,0.3495673,0.34876359,0.348364699
484,0.348852139,0.349344834,0.349178757,0.348978705,0.348780287,0.348842394,0.348919182,0.350457934,0.348874895,0.348849289
485,0.349535831,0.349522668,0.349846378,0.349354788,0.348884785,0.349333455,0.349226777,0.350322045,0.348704166,0.349847874
486,0.350808585,0.349767487,0.350026462,0.349666604,0.348914143,0.349378229,0.349172611,0.350296015,0.348911867,0.350510896
487,0.351477325,0.350968532,0.350279044,0.350605307,0.350892251,0.350650594,0.350303156,0.352082384,0.34998596,0.350178749
488,0.351787373,0.351542813,0.351595744,0.350845516,0.351720838,0.350552038,0.350779091,0.351622889,0.350565799,0.351546099
489,0.352426998,0.351834811,0.352257138,0.351411129,0.351952832,0.351018403,0.35181765,0.351348189,0.350953931,0.352723663
490,0.353503689,0.352259811,0.351885335,0.352650682,0.352114132,0.35253004,0.353360966,0.352455822,0.351615761,0.352760327
491,0.354117925,0.35299885,0.352660008,0.353460845,0.351905843,0.352383695,0.352648433,0.353014592,0.353033512,0.352929287
492,0.354709552,0.354031506,0.354517165,0.354005925,0.35382669,0.353776848,0.353990266,0.354841765,0.353930056,0.353759845
493,0.355107197,0.354841925,0.355659727,0.354551115,0.355444998,0.355425967,0.355449802,0.356235081,0.354420236,0.355117755
494,0.355246749,0.3550624,0.354636868,0.355242062,0.354152598,0.355269522,0.35434492,0.355346473,0.35503842,0.356368178
495,0.35674276,0.356035194,0.355076757,0.355216111,0.355453058,0.355144757,0.355415396,0.355519954,0.355917149,0.355931973
496,0.356688189,0.356512213,0.355396943,0.355716825,0.356410486,0.355854661,0.356071733,0.356470354,0.356144345,0.35617173
497,0.355679254,0.356602512,0.355551672,0.356871565,0.356597239,0.357135744,0.356061595,0.357566401,0.356414795,0.357319642
498,0.358099736,0.357937808,0.357332788,0.357548644,0.358609151,0.357699034,0.357911753,0.358052239,0.359065028,0.357214379
499,0.35944367,0.358864466,0.35790396,0.358194503,0.358885005,0.358618054,0.358493912,0.358529294,0.359402873,0.358748866
500,0.360204536,0.359392447,0.358361898,0.359257258,0.35920051,0.359679076,0.358679511,0.35953285,0.359141838,0.360286035
501,0.361391431,0.359997856,0.359873067,0.360670532,0.361068064,0.360540728,0.359747203,0.361054215,0.360332621,0.360361778
502,0.361690097,0.36140213,0.360682936,0.360475654,0.360867282,0.361413828,0.361238462,0.361301764,0.360964007,0.361576816
503,0.362268605,0.362490057,0.361765182,0.361595884,0.361616317,0.362147279,0.362249045,0.36229312,0.361783513,0.36245624
504,0.363284024,0.362991092,0.363288578,0.363508182,0.362941727,0.362753929,0.362837254,0.363603419,0.362784006,0.362790982
505,0.364162187,0.363336048,0.364750335,0.363528445,0.36241465,0.363376232,0.363709015,0.36340101,0.363487412,0.363309192
506,0.364759934,0.365053746,0.364725684,0.364460138,0.363742441,0.364352018,0.364663992,0.36556267,0.364718658,0.364917184
507,0.365464422,0.366090032,0.365297635,0.36567177,0.365380002,0.365500216,0.365497281,0.366684697,0.365395837,0.366324469
508,0.366328173,0.365649378,0.367191119,0.366443059,0.366064286,0.366481998,0.36610012,0.365309229,0.365232734,0.366670548
509,0.366313086,0.367053394,0.366683644,0.367041569,0.366996292,0.36666339,0.366512324,0.366867021,0.366352178,0.366646278
510,0.367380879,0.368037259,0.367715998,0.367442181,0.367697909,0.367810476,0.367556481,0.367911793,0.367701919,0.367632604
511,0.368846049,0.368364256,0.369747467,0.367985273,0.368373433,0.369113217,0.368602749,0.368258206,0.368671685,0.368963797
512,0.3692005,0.368697212,0.370504687,0.368970782,0.369346843,0.369039859,0.368738691,0.369018195,0.369021178,0.369330449
513,0.370259446,0.369558861,0.370418936,0.369138607,0.369577927,0.369777523,0.370198495,0.370266414,0.370040753,0.370316244
514,0.371422535,0.370815317,0.370904961,0.369701613,0.370310731,0.371344039,0.37163983,0.371334851,0.370882552,0.37163725
515,0.372294442,0.372121471,0.372262084,0.371254947,0.371868361,0.372960991,0.37234184,0.372031492,0.371526568,0.372687566
516,0.373080446,0.372931403,0.373050606,0.373236676,0.372954611,0.372931711,0.372957182,0.372945635,0.373554762,0.37256211
517,0.374234912,0.373591004,0.373447392,0.374349744,0.373675671,0.373766143,0.373575113,0.374197421,0.373971381,0.373590666
518,0.375431885,0.374325132,0.374124963,0.374896577,0.37447348,0.375018342,0.374322658,0.375305093,0.374045068,0.375084006
519,0.376182397,0.375272122,0.375520561,0.375615611,0.375670658,0.375668786,0.375289067,0.375822871,0.37563959,0.375749065
520,0.376332087,0.376375807,0.376110595,0.376546211,0.37634768,0.376532488,0.376544193,0.376318815,0.377059699,0.37608127
521,0.377615094,0.377164032,0.376902403,0.377430277,0.377312581,0.377369161,0.377402149,0.377590937,0.377545279,0.377160162
522,0.379477419,0.377858383,0.377925946,0.378227837,0.378610308,0.37818602,0.378001644,0.37927859,0.377561696,0.378736482
523,0.379189754,0.379323956,0.378207567,0.379125641,0.379489323,0.379254946,0.379272942,0.379938778,0.37867141,0.37929931
524,0.380189507,0.38023738,0.379837247,0.38013882,0.380307663,0.380036068,0.380166071,0.380495612,0.37991796,0.380239191
525,0.381736434,0.380712709,0.381083915,0.381109518,0.380856529,0.380805464,0.380837949,0.381325118,0.380898226,0.381511544
526,0.38263655,0.381266789,0.380880386,0.381936805,0.381189327,0.381860374,0.381649022,0.382456919,0.381566126,0.382686552
