Wavelength,Bel-fruit00000.asd,Bel-fruit00001.asd,Bel-fruit00002.asd,Bel-fruit00003.asd,Bel-fruit00004.asd,Bel-fruit00005.asd,Bel-fruit00006.asd,Bel-fruit00007.asd,Bel-fruit00008.asd,Bel-fruit00009.asd
350,0.330012249,0.350528423,0.283353491,0.271306861,0.294837678,0.270270399,0.375479535,0.362221495,0.253246166,0.274097076
351,0.355178965,0.346681786,0.314445578,0.345711528,0.307214655,0.288401291,0.356500033,0.339922626,0.297791937,0.392741199
352,0.355915446,0.340896266,0.288627953,0.354384462,0.286889519,0.332886436,0.299193608,0.339332793,0.312869696,0.36339124
353,0.328168729,0.326150286,0.234881666,0.300482132,0.245128544,0.355968152,0.268921159,0.325303536,0.275263634,0.227292096
354,0.304658863,0.30568605,0.246133352,0.306596278,0.221100333,0.287498026,0.347780888,0.292731802,0.307100525,0.271412979
355,0.274271159,0.248399247,0.297294026,0.282513554,0.211397952,0.305639814,0.336572609,0.293284915,0.29095385,0.280656595
356,0.245101353,0.240482956,0.290162477,0.239410569,0.220421495,0.317769088,0.301772122,0.288928086,0.232249952,0.235517431
357,0.229315883,0.288824426,0.216125462,0.21442949,0.235887844,0.269431342,0.291999186,0.264333695,0.184858298,0.184528575
358,0.23046078,0.221157006,0.234168262,0.247255498,0.222094172,0.257842432,0.214986806,0.27288063,0.227512737,0.216778072
359,0.223218256,0.24451416,0.233290769,0.237975442,0.21225063,0.214284217,0.212413109,0.230472919,0.21486277,0.234871741
360,0.205058077,0.276535071,0.225810501,0.213927669,0.19657452,0.193387149,0.229322839,0.200505258,0.201008137,0.230670243
361,0.185442401,0.212205119,0.240667821,0.21950213,0.168516494,0.241439526,0.192186124,0.244249074,0.251822105,0.22168441
362,0.204250024,0.232513524,0.211427933,0.197709573,0.216140548,0.228992905,0.223766871,0.238528208,0.203692493,0.204062082
363,0.236311764,0.230295637,0.209382106,0.220692975,0.230211537,0.21477873,0.248668885,0.233032729,0.187678248,0.193494467
364,0.25038683,0.197411829,0.232688801,0.259642966,0.198309065,0.212342796,0.244447651,0.229876994,0.216959329,0.191810204
365,0.220695755,0.217777347,0.216356967,0.20713504,0.194977408,0.186879257,0.244432852,0.183826209,0.195715759,0.188289925
366,0.218493796,0.222746697,0.202020303,0.180813178,0.189498575,0.178780262,0.231503592,0.175684312,0.18508574,0.181946142
367,0.216689449,0.201876187,0.202691351,0.194810649,0.191749876,0.187988682,0.214956678,0.189431014,0.189056576,0.177116657
368,0.196234604,0.171090939,0.214168948,0.223331337,0.204501262,0.202576256,0.202922274,0.199230943,0.194010281,0.1761052
369,0.201824075,0.193080941,0.209265519,0.190063137,0.200538953,0.199935544,0.201352233,0.194172684,0.164684446,0.178083672
370,0.191828258,0.187705774,0.186070958,0.177865151,0.187704652,0.18714036,0.18467499,0.192327359,0.163453399,0.172017615
371,0.178642051,0.170097085,0.166099958,0.186797952,0.175825213,0.179503832,0.170650294,0.194498139,0.177935849,0.165402284
372,0.19043324,0.185549582,0.173863899,0.185318314,0.17311642,0.189499916,0.187519813,0.194418008,0.171230626,0.171100985
373,0.18683519,0.175449122,0.177103777,0.186181523,0.169812059,0.179462888,0.190686681,0.193028764,0.174438051,0.178996052
374,0.180444121,0.177048818,0.175610455,0.180478283,0.170670622,0.171418844,0.185132333,0.188174834,0.176499024,0.18408264
375,0.179046621,0.19450131,0.172024513,0.172503416,0.175506698,0.172023847,0.178284434,0.18260527,0.173564581,0.185233412
376,0.179638755,0.177880009,0.167342541,0.188182327,0.176083491,0.163460713,0.174753205,0.187925578,0.175638817,0.183494677
377,0.178470091,0.172424369,0.18006858,0.187193164,0.178702527,0.161921507,0.177036142,0.175319444,0.168657999,0.176255362
378,0.175864918,0.173800042,0.188378728,0.176536021,0.179020764,0.164836782,0.177141796,0.168312071,0.167585923,0.168276851
379,0.173332886,0.170738454,0.173368567,0.172828219,0.174640085,0.165546909,0.171119036,0.186818504,0.182522132,0.165752405
380,0.171569636,0.17278773,0.166324031,0.183297203,0.182014358,0.158699425,0.181501761,0.18590967,0.177474121,0.173047717
381,0.171472822,0.175208035,0.169382784,0.17977693,0.180758187,0.157173355,0.18610934,0.178726155,0.170105202,0.172889496
382,0.171235963,0.175966529,0.175334283,0.166967278,0.172354493,0.162071472,0.179878746,0.172296089,0.16961926,0.166503367
383,0.16757287,0.175163268,0.171713505,0.17234904,0.173653102,0.165706433,0.171712808,0.167767562,0.176412292,0.168226124
384,0.164709246,0.16815914,0.164015336,0.1741549,0.16606166,0.172290776,0.168767863,0.162899658,0.170047299,0.169206256
385,0.166446855,0.164750266,0.162914494,0.176383292,0.161603747,0.172164473,0.166596669,0.165185111,0.166398604,0.16891982
386,0.17224952,0.169589349,0.170956343,0.180284898,0.166466597,0.163162575,0.163110042,0.174652537,0.173734887,0.167847468
387,0.172567561,0.171705492,0.172065837,0.171436657,0.164187005,0.16375674,0.165912946,0.171839233,0.171475874,0.165791314
388,0.172270183,0.175677974,0.169247273,0.16778018,0.161394735,0.163339152,0.16904841,0.168329537,0.168527125,0.163885101
389,0.169664166,0.176668736,0.167257428,0.166146427,0.161560115,0.160619001,0.16993692,0.16590613,0.167538299,0.162406197
390,0.163138002,0.169492718,0.169906948,0.158395428,0.165807707,0.158352786,0.168204199,0.163456268,0.168273988,0.161435927
391,0.168811969,0.17061791,0.168218724,0.161708192,0.167699998,0.161392183,0.168563729,0.166385805,0.167017377,0.162370004
392,0.168691762,0.171259032,0.16369576,0.167891614,0.16714957,0.163308972,0.168253475,0.16828869,0.164818285,0.162506705
393,0.160917494,0.168969785,0.159517645,0.170541809,0.165476042,0.162000672,0.167144075,0.166860867,0.164243628,0.160937315
394,0.165885995,0.171408896,0.159594153,0.168093585,0.164979975,0.161591807,0.168991079,0.165812307,0.169170324,0.159178561
395,0.164926596,0.166255131,0.15761317,0.165784165,0.157869968,0.161267046,0.167779594,0.162807897,0.167822036,0.160350429
396,0.164204601,0.165211583,0.159147595,0.165961986,0.154756492,0.163588378,0.165634633,0.163519562,0.164943239,0.162771854
397,0.169302519,0.175303548,0.166947271,0.16853845,0.162731909,0.168230159,0.164982335,0.169662474,0.165752302,0.163921402
398,0.162252397,0.167258318,0.164229198,0.168678782,0.162300201,0.162219603,0.161628154,0.162785555,0.16188915,0.163102908
399,0.16153737,0.165010589,0.164628859,0.167355552,0.162152569,0.160317713,0.162165915,0.161397077,0.161681992,0.160010883
400,0.167018277,0.169579752,0.167747943,0.165597537,0.163929301,0.162844799,0.165262343,0.166974603,0.165713218,0.157225334
401,0.166421427,0.167081996,0.164426489,0.164457641,0.164320501,0.160840201,0.164742224,0.169325369,0.168852965,0.158896936
402,0.166832331,0.168295194,0.164328326,0.165211732,0.163467744,0.162098385,0.166071037,0.169657764,0.165659234,0.164496986
403,0.165694978,0.169857516,0.165552818,0.16757283,0.165435642,0.162889063,0.166560896,0.169368752,0.162961811,0.168305687
404,0.162874153,0.169351029,0.166290939,0.170165422,0.170361023,0.161851406,0.165498935,0.169153437,0.16509651,0.168049539
405,0.166049598,0.169967375,0.168329329,0.16960527,0.169365415,0.165870831,0.168637314,0.167849826,0.168814424,0.169358088
406,0.166374574,0.171282192,0.170414711,0.170993092,0.169328679,0.167859982,0.17013993,0.167384069,0.167978158,0.170788494
407,0.166766654,0.171429484,0.171474634,0.173386074,0.169930152,0.167394188,0.169555141,0.168154042,0.165893614,0.170552225
408,0.172390911,0.169512565,0.171066009,0.174192076,0.169258577,0.167029026,0.168919742,0.169942563,0.168405426,0.168030591
409,0.175406227,0.173972306,0.171523964,0.175526811,0.171677992,0.171601937,0.172198195,0.172936253,0.173296706,0.170533651
410,0.17663696,0.177097379,0.174242419,0.174735224,0.175277771,0.173330538,0.175888574,0.175337844,0.17444933,0.174327755
411,0.177006431,0.177419833,0.177653661,0.17389445,0.178091786,0.171977934,0.17852522,0.177409358,0.173374291,0.176854414
412,0.176779507,0.181536706,0.177162306,0.180481905,0.178659098,0.176438029,0.181534262,0.181788327,0.180066003,0.177797509
413,0.18011913,0.182151095,0.179146051,0.183523854,0.181037758,0.17884022,0.181647849,0.183843636,0.181934544,0.181859515
414,0.183949707,0.182131639,0.181855362,0.1844601,0.18311564,0.179625139,0.182266762,0.184396848,0.182307437,0.185199029
415,0.185556868,0.184775243,0.183246424,0.186475643,0.183149178,0.180864972,0.185492715,0.185343859,0.185464929,0.184809293
416,0.189027546,0.187208586,0.186539286,0.188349806,0.18492521,0.183243272,0.183758531,0.187468057,0.186252488,0.18657377
417,0.191929563,0.189686157,0.190123491,0.190329948,0.188858701,0.187052678,0.186448706,0.190536594,0.188964161,0.188144136
418,0.193456447,0.191995417,0.192755164,0.192270059,0.192324421,0.191055593,0.192286716,0.193669291,0.191971692,0.189461669
419,0.194034677,0.193718685,0.193752481,0.193928092,0.191556515,0.193253302,0.193674524,0.195605277,0.190623046,0.191816259
420,0.194882951,0.195971555,0.195789733,0.197745569,0.193678719,0.19532343,0.196801026,0.195649583,0.192902895,0.19380608
