Wavelength,Jag00000.asd,Jag00001.asd,Jag00002.asd,Jag00003.asd,Jag00004.asd,Jag00005.asd,Jag00006.asd,Jag00007.asd,Jag00008.asd,Jag00009.asd
350,0.235157895,0.197443467,0.28888492,0.189238756,0.25878896,0.160422488,0.279416969,0.245195113,0.390569277,0.225261971
351,0.284551507,0.278492151,0.322779027,0.253452487,0.293884132,0.24081933,0.339148578,0.312702324,0.3524422,0.210212451
352,0.290090676,0.287324843,0.297089162,0.20979477,0.263095795,0.243887456,0.29338994,0.305852984,0.253529759,0.215656236
353,0.253234894,0.213558319,0.2353811,0.116770404,0.19338099,0.175997878,0.201263307,0.23155149,0.177984991,0.247434941
354,0.246170645,0.198258974,0.296032817,0.243342466,0.241163616,0.242664262,0.2512005,0.218636055,0.228094904,0.271043716
355,0.179615632,0.22457054,0.260292375,0.222454843,0.245667191,0.229219085,0.25087922,0.166559565,0.196909531,0.256182702
356,0.143912219,0.181120771,0.189736272,0.183110095,0.221386081,0.184652091,0.198404179,0.157800833,0.166244009,0.206395015
357,0.179576812,8.56E-02,0.167699848,0.217879192,0.198321396,0.177326995,0.146629777,0.208883982,0.194404906,0.164734118
358,0.181016559,0.198315246,0.205529732,0.192029933,0.1653885,0.219948516,0.159873501,0.172752497,0.204533902,0.213527046
359,0.178349121,0.194904412,0.201379681,0.172267948,0.141403081,0.202200394,0.168707008,0.146269087,0.201790479,0.194124687
360,0.174604149,0.141483203,0.166284203,0.161718551,0.13975228,0.153031394,0.157851355,0.144403407,0.179429214,0.15874756
361,0.167051939,0.165961571,0.141221666,0.145966152,0.160343901,0.129718541,0.13397408,0.152992972,0.142661475,0.179472098
362,0.156683255,0.135604792,0.149818351,0.122567723,0.168038826,0.145014737,0.117638141,0.152215897,0.175974079,0.129895888
363,0.159691972,0.138528272,0.164878325,0.132375024,0.163102228,0.131915602,0.15143774,0.146108988,0.185209016,0.109588371
364,0.169464332,0.164392086,0.16619679,0.157919183,0.148364462,0.105935424,0.190485788,0.135678945,0.1540619,0.133651067
365,0.162285022,0.117588153,0.145678161,0.138116402,0.125045024,0.147632077,0.13040695,0.117112001,0.137914665,0.137448418
366,0.14635548,0.120359618,0.133660369,0.130956527,0.120627563,0.130314421,0.119422362,0.119367339,0.13698956,0.105006963
367,0.128308943,0.134412006,0.133667586,0.127117763,0.132668265,0.112001586,0.131370904,0.130193465,0.133442588,0.103761081
368,0.115311803,0.124764908,0.139992901,0.118177626,0.145032335,0.133085738,0.129842909,0.134917941,0.119145541,0.152462481
369,0.128191024,0.126350988,0.144496651,0.132782656,0.116635139,0.128337519,0.127726399,0.125106238,0.116844198,0.128371999
370,0.132025557,0.117703228,0.11789075,0.11752806,0.104503827,0.109601807,0.118698802,0.122307406,0.129779439,0.113268793
371,0.123329493,0.107531569,9.26E-02,0.097500527,0.109225525,9.82E-02,0.110267516,0.125028595,0.136228897,0.110044598
372,0.113472402,0.113294815,0.114140793,0.118464389,0.109163531,0.112382699,0.112338355,0.122413516,0.112980208,9.34E-02
373,0.120228429,0.11636945,0.114868542,0.110863324,0.104774323,0.111093111,0.1044986,0.11048123,0.111244678,9.96E-02
374,0.124806673,0.111485891,0.119419375,0.106472844,0.105562998,0.114666619,0.103571009,0.103987929,0.118717534,0.106203995
375,0.119647647,0.102205831,0.130511637,0.115002904,0.112326752,0.126140366,0.109690813,0.106742781,0.122822633,0.103811775
376,0.114002576,0.102299335,0.108571605,0.106450833,0.113839457,0.117460944,9.73E-02,0.109418911,0.117252965,0.103955515
377,0.111202154,0.102872201,0.102863093,0.110983254,0.115713389,0.114167967,9.98E-02,0.112943823,0.112051412,0.102194329
378,0.113347124,0.101186927,0.107126937,0.114516377,0.112842908,0.113922007,0.110182235,0.112504921,0.109173791,0.103290995
379,0.119141983,9.90E-02,0.106334248,0.103373151,0.102638113,0.110769297,0.113903609,0.10646674,0.108311095,0.11014812
380,0.116572526,0.110184847,0.106361232,0.108507776,0.100316362,0.112301448,0.106174152,0.110984105,0.108417876,0.111699301
381,0.115312845,0.111990304,0.106316397,0.109854744,0.105357313,0.107879765,0.10780912,0.106734748,0.104772619,0.1064323
382,0.115384042,0.1046239,0.105601267,0.104729779,0.111133294,0.101111601,0.115652531,9.91E-02,0.101795992,0.100841246
383,0.109999628,0.105161432,0.104246419,0.103977509,0.107891019,0.105076985,0.109961747,0.109941832,0.10921124,0.105576451
384,0.107079792,0.106207321,0.107143876,0.10552191,0.103409492,0.103759923,0.105858027,0.107743922,0.109048772,0.102412282
385,0.107330947,0.104927944,0.111765205,0.108654547,0.105937707,0.103210477,0.106690661,0.106101525,0.109154587,0.101398452
386,0.109478604,0.102285346,0.114111419,0.111651301,0.115029628,0.107850689,0.110980737,0.113035294,0.114015156,0.107993482
387,0.110471434,0.106527907,0.108248201,0.109851248,0.110608355,0.112214942,0.110466844,0.108647981,0.11172486,0.108456753
388,0.111903856,0.109669217,0.109424333,0.110580628,0.111859011,0.108497276,0.113930637,0.109322742,0.110931342,0.106096049
389,0.114318777,0.110471568,0.114655933,0.110869467,0.11646292,0.102562575,0.11503095,0.11219485,0.110368121,0.105963926
390,0.117021074,0.110637886,0.115301971,0.106286873,0.115078609,0.104729436,0.105945109,0.109402793,0.106909738,0.111718191
391,0.113815173,0.112442384,0.118545981,0.111083859,0.110734085,0.115764221,0.109762415,0.112971432,0.111603355,0.111895909
392,0.112674132,0.114440894,0.118319479,0.117091693,0.112129235,0.116550647,0.113764851,0.115009636,0.117139207,0.111928963
393,0.115442945,0.114959159,0.114365857,0.119033577,0.119117492,0.108944322,0.113723757,0.113866214,0.119554096,0.113986102
394,0.115328338,0.11243105,0.114363731,0.117432829,0.120891885,0.121396996,0.119168205,0.117239359,0.120915867,0.114729011
395,0.119564662,0.114896378,0.114616894,0.117338685,0.116242618,0.116729626,0.119385667,0.115421353,0.115249169,0.113247989
396,0.122347395,0.115981683,0.116188227,0.116640094,0.116054026,0.111152093,0.11790472,0.116173176,0.113684985,0.115232477
397,0.11905877,0.111213626,0.119578359,0.114252817,0.125808729,0.121270116,0.119832523,0.124683386,0.122482458,0.123015311
398,0.118991549,0.11478295,0.119509905,0.119575436,0.122462353,0.120389729,0.124507809,0.123087277,0.116748223,0.122720904
399,0.122475957,0.119267368,0.122724856,0.121470547,0.119786386,0.116614031,0.1216243,0.122220056,0.11910917,0.119179168
400,0.127602856,0.12057179,0.127210873,0.121423856,0.121938452,0.116155157,0.11618546,0.124586333,0.128120294,0.118351087
401,0.131021151,0.118146752,0.125878332,0.128194834,0.125693266,0.122548655,0.122073247,0.126735735,0.126968854,0.12522152
402,0.130663767,0.123426541,0.127167195,0.126247433,0.126287364,0.128439548,0.127866897,0.129500206,0.126322858,0.125811121
403,0.130535664,0.127333722,0.13055064,0.125587008,0.127122565,0.12807515,0.128768843,0.128528457,0.129076215,0.126286229
404,0.13254741,0.125167183,0.133176306,0.130903037,0.129964415,0.123290328,0.125857542,0.124787361,0.13382902,0.130292037
405,0.132762394,0.126364495,0.128947603,0.128908047,0.130731913,0.13117986,0.130102671,0.132028228,0.132735879,0.130699413
406,0.133210924,0.129205323,0.133167559,0.129350862,0.133059839,0.131357795,0.131250289,0.133614238,0.131826896,0.129916093
407,0.13308084,0.131811087,0.138818113,0.131725142,0.134910023,0.128695138,0.13087762,0.131420682,0.132011069,0.130615811
408,0.131791364,0.13279582,0.134731465,0.132733654,0.133619712,0.134044778,0.133682449,0.132801505,0.13261842,0.134559307
409,0.136097416,0.135914187,0.137694476,0.13560105,0.135162979,0.135809373,0.136274426,0.134339763,0.135072746,0.137259078
410,0.139266262,0.137219821,0.14066697,0.137348473,0.138203065,0.135890261,0.137643049,0.135478687,0.136647737,0.138146579
411,0.139497287,0.136788512,0.140443241,0.137881055,0.14090816,0.136923407,0.138867032,0.137548021,0.137504701,0.138406299
412,0.141411227,0.139614444,0.13987013,0.140675446,0.141571803,0.141246947,0.143101194,0.143761295,0.141241933,0.140732814
413,0.143289406,0.141055784,0.142209774,0.142122949,0.144049918,0.141472278,0.142636271,0.142131094,0.142286935,0.142383345
414,0.145167168,0.142326387,0.144692858,0.144506393,0.145768068,0.141184421,0.141055154,0.140043726,0.143172664,0.144006107
415,0.14701062,0.144720147,0.144774971,0.148560166,0.144694403,0.14400018,0.142762571,0.144125384,0.146368131,0.145941857
416,0.147228789,0.145327308,0.14533963,0.14510985,0.14510161,0.145192134,0.146516831,0.14347363,0.1481999,0.144545454
417,0.148393981,0.14617798,0.145481298,0.145697533,0.145621017,0.146487289,0.148434776,0.145845113,0.148566805,0.145590836
418,0.149985421,0.147912517,0.146579415,0.149032181,0.146385909,0.147823643,0.14799033,0.149565431,0.148388753,0.148208162
419,0.149729563,0.149990383,0.150756873,0.146484424,0.14836226,0.148065822,0.147224693,0.147734507,0.149054988,0.147793782
420,0.149902489,0.149875712,0.151088657,0.148547443,0.150753949,0.147909934,0.150774225,0.149106276,0.149265905,0.150853923
421,0.151353976,0.149271145,0.15022292,0.151124298,0.150685449,0.14901977,0.152972049,0.150550745,0.14973338,0.152556215
422,0.153703636,0.14954639,0.150722517,0.151114626,0.14867533,0.151639296,0.151437524,0.15027125,0.15100655,0.150865791
423,0.154590524,0.150197616,0.152623943,0.150863614,0.152751676,0.153312361,0.153123339,0.152375774,0.152962448,0.152121248
424,0.156121205,0.152046636,0.152926648,0.153023215,0.154485039,0.153359859,0.152711274,0.154406235,0.154604452,0.15326237
425,0.1573123,0.154376671,0.153668801,0.155866145,0.154551502,0.153565679,0.152718249,0.154869298,0.155738515,0.154442519
426,0.156723484,0.155897103,0.157356818,0.156591545,0.156177055,0.155751199,0.156584434,0.153538718,0.156380881,0.156362921
427,0.156695752,0.155308349,0.157449281,0.156917821,0.156989055,0.155585864,0.156019637,0.15557284,0.155318187,0.156356138
428,0.158491095,0.155995413,0.157876057,0.157303805,0.157784907,0.156833906,0.156082648,0.157561403,0.15640718,0.157269198
429,0.160814795,0.158418974,0.159922694,0.158057306,0.158615458,0.159628137,0.158306347,0.158166143,0.15942437,0.158980998
430,0.159585943,0.159382626,0.161017097,0.159408933,0.15840517,0.159343156,0.159152609,0.159071889,0.159169179,0.157544811
431,0.160687148,0.159805598,0.161498568,0.16017664,0.159311334,0.159799587,0.159444748,0.159216581,0.160492194,0.158323396
432,0.162424979,0.160475208,0.161286089,0.160275402,0.160455191,0.160686988,0.158924172,0.160030054,0.161993355,0.160571369
433,0.162475252,0.16181226,0.160714542,0.160292753,0.160860693,0.161228504,0.158206439,0.162303995,0.161975591,0.162241465
434,0.162672034,0.163216004,0.161660212,0.162225547,0.161754925,0.162646448,0.161835712,0.162799348,0.162748371,0.162009781
435,0.163434635,0.162977355,0.162749632,0.163152889,0.163129153,0.1629094,0.16402484,0.163256057,0.164167498,0.162300726
436,0.164598767,0.162586581,0.163774547,0.163448166,0.164645012,0.162880273,0.164163817,0.1641848,0.165377725,0.164070055
437,0.16562516,0.165291971,0.165280778,0.165541222,0.165751088,0.165150174,0.165316564,0.165142195,0.16527623,0.16690236
438,0.166868624,0.165645138,0.165591432,0.165512507,0.166192774,0.166221367,0.166751813,0.165804832,0.166503613,0.167186733
439,0.167649745,0.16597763,0.16676892,0.16630942,0.166422764,0.166673742,0.167477976,0.167008259,0.167432085,0.167203781
440,0.167837906,0.167862304,0.169282439,0.169038768,0.166973408,0.167372053,0.167463513,0.168699566,0.167326971,0.168393053
441,0.168774818,0.168673113,0.168821915,0.168382283,0.168531342,0.168468152,0.168989667,0.168381718,0.168869457,0.16823433
442,0.169719252,0.169309778,0.16906242,0.169396241,0.168647175,0.168915246,0.16963996,0.168844709,0.17016917,0.168773148
443,0.170768335,0.170058005,0.170297776,0.171159162,0.168834176,0.169457142,0.16974116,0.169862405,0.170991138,0.170120366
444,0.172154198,0.17096098,0.171402489,0.170971243,0.171526046,0.171167924,0.170580444,0.170244017,0.171754283,0.17153954
445,0.172468753,0.171906079,0.171784489,0.172612429,0.17276444,0.1714154,0.171236987,0.171673808,0.172252671,0.172441757
446,0.17312486,0.172461399,0.172758351,0.173362875,0.17338009,0.172664802,0.172971587,0.172933413,0.172977846,0.173390659
447,0.17455902,0.172966861,0.174432212,0.173057112,0.174127525,0.175147166,0.175366743,0.173471296,0.17421301,0.174536452
448,0.175532344,0.174916726,0.175005471,0.175920356,0.175038875,0.175423059,0.175450404,0.173910025,0.175950671,0.175302936
449,0.176779642,0.175575097,0.176050022,0.176195828,0.175699337,0.17540016,0.175129015,0.175782203,0.176556037,0.175875311
