Wavelength,Udid_Dal00000.asd,Udid_Dal00001.asd,Udid_Dal00002.asd,Udid_Dal00003.asd,Udid_Dal00004.asd,Udid_Dal00005.asd,Udid_Dal00006.asd,Udid_Dal00007.asd,Udid_Dal00008.asd,Udid_Dal00009.asd
350,0.419997376,0.432427024,0.454167434,0.403538028,0.385678618,0.416878798,0.353681473,0.385428823,0.326202264,0.295807372
351,0.407266026,0.418912777,0.395680701,0.36292881,0.444456952,0.434782914,0.346727467,0.385632356,0.407174752,0.32443985
352,0.428007247,0.381731007,0.351346003,0.353861389,0.426327752,0.448060052,0.343910156,0.359920758,0.445950841,0.387120295
353,0.426867747,0.344300773,0.353651882,0.377120869,0.356402224,0.429107074,0.347752625,0.327120567,0.415272805,0.401722428
354,0.325924889,0.402706205,0.408761192,0.369249244,0.386323284,0.391448277,0.380491938,0.334770613,0.389152083,0.326697702
355,0.352710327,0.452575815,0.409228973,0.334490514,0.366808854,0.367682043,0.371502567,0.328368694,0.361769395,0.346415361
356,0.385686081,0.437459184,0.367594812,0.31382203,0.353031072,0.349694299,0.344072444,0.323130851,0.341565233,0.352918942
357,0.34388516,0.373890843,0.331286518,0.327504024,0.376003217,0.335387498,0.332505266,0.328520559,0.340813342,0.302330243
358,0.321798885,0.370596399,0.352093708,0.349132175,0.367027018,0.343170733,0.354539472,0.320128533,0.382210856,0.355665021
359,0.361791379,0.343493077,0.334807882,0.346424153,0.344372914,0.340370788,0.333911322,0.340163283,0.361191156,0.346089291
360,0.388142394,0.318788934,0.308522376,0.338597857,0.336268537,0.334306483,0.318037935,0.352069302,0.325282222,0.313727281
361,0.3339277,0.332451475,0.318478683,0.346684428,0.353646308,0.335858934,0.355057068,0.322814019,0.337382219,0.329556775
362,0.311104501,0.345253856,0.322677586,0.31820141,0.329691783,0.314717117,0.333314457,0.332362073,0.327539333,0.319149033
363,0.302927166,0.327234622,0.320715157,0.307130999,0.305132601,0.291542811,0.303648919,0.330137412,0.318218455,0.316428932
364,0.298710232,0.296865026,0.312937331,0.316442129,0.29884123,0.285673397,0.294009981,0.312097613,0.312497056,0.319308449
